Instanta;Algoritm;Run;Nr_Ordine;ID_Cutie;L_Original;W_Original;H_Original;Orientare;Pos_X;Pos_Y;Pos_Z;Ef_L;Ef_W;Ef_H;Volum_Cutie
1;SA;1;1;36;92;81;55;2;0,0000;0,0000;0,0000;81;92;55;409860,0000
1;SA;1;2;20;108;76;30;0;81,0000;0,0000;0,0000;108;76;30;246240,0000
1;SA;1;3;44;92;81;55;5;189,0000;0,0000;0,0000;55;81;92;409860,0000
1;SA;1;4;40;92;81;55;5;244,0000;0,0000;0,0000;55;81;92;409860,0000
1;SA;1;5;47;92;81;55;4;299,0000;0,0000;0,0000;55;92;81;409860,0000
1;SA;1;6;76;120;99;73;4;354,0000;0,0000;0,0000;73;120;99;867240,0000
1;SA;1;7;52;92;81;55;2;427,0000;0,0000;0,0000;81;92;55;409860,0000
1;SA;1;8;77;120;99;73;4;508,0000;0,0000;0,0000;73;120;99;867240,0000
1;SA;1;9;67;120;99;73;2;81,0000;76,0000;0,0000;99;120;73;867240,0000
1;SA;1;10;32;92;81;55;4;189,0000;81,0000;0,0000;55;92;81;409860,0000
1;SA;1;11;26;110;43;25;1;354,0000;120,0000;0,0000;110;25;43;118250,0000
1;SA;1;12;81;120;99;73;4;0,0000;92,0000;0,0000;73;120;99;867240,0000
1;SA;1;13;28;110;43;25;1;464,0000;120,0000;0,0000;110;25;43;118250,0000
1;SA;1;14;73;120;99;73;1;354,0000;145,0000;0,0000;120;73;99;867240,0000
1;SA;1;15;70;120;99;73;3;474,0000;145,0000;0,0000;99;73;120;867240,0000
1;SA;1;16;12;108;76;30;0;81,0000;0,0000;30,0000;108;76;30;246240,0000
1;SA;1;17;39;92;81;55;4;244,0000;81,0000;0,0000;55;92;81;409860,0000
1;SA;1;18;74;120;99;73;4;427,0000;0,0000;55,0000;73;120;99;867240,0000
1;SA;1;19;56;81;33;28;1;427,0000;92,0000;0,0000;81;28;33;74844,0000
1;SA;1;20;62;81;33;28;1;189,0000;173,0000;0,0000;81;28;33;74844,0000
1;SA;1;21;11;108;76;30;0;81,0000;0,0000;60,0000;108;76;30;246240,0000
1;SA;1;22;33;92;81;55;5;299,0000;92,0000;0,0000;55;81;92;409860,0000
1;SA;1;23;59;81;33;28;1;270,0000;173,0000;0,0000;81;28;33;74844,0000
1;SA;1;24;38;92;81;55;3;189,0000;173,0000;33,0000;81;55;92;409860,0000
1;SA;1;25;63;81;33;28;1;81,0000;196,0000;0,0000;81;28;33;74844,0000
1;SA;1;26;53;92;81;55;3;270,0000;173,0000;33,0000;81;55;92;409860,0000
1;SA;1;27;27;110;43;25;1;354,0000;120,0000;43,0000;110;25;43;118250,0000
1;SA;1;28;45;92;81;55;2;0,0000;0,0000;55,0000;81;92;55;409860,0000
1;SA;1;29;65;81;33;28;1;189,0000;201,0000;0,0000;81;28;33;74844,0000
1;SA;1;30;9;108;76;30;0;81,0000;76,0000;73,0000;108;76;30;246240,0000
1;SA;1;31;2;108;76;30;0;81,0000;152,0000;73,0000;108;76;30;246240,0000
1;SA;1;32;50;92;81;55;4;299,0000;0,0000;81,0000;55;92;81;409860,0000
1;SA;1;33;16;108;76;30;0;189,0000;81,0000;81,0000;108;76;30;246240,0000
1;SA;1;34;5;108;76;30;0;81,0000;0,0000;90,0000;108;76;30;246240,0000
1;SA;1;35;48;92;81;55;5;189,0000;0,0000;92,0000;55;81;92;409860,0000
1;SA;1;36;4;108;76;30;0;354,0000;145,0000;99,0000;108;76;30;246240,0000
1;SA;1;37;19;108;76;30;0;81,0000;76,0000;103,0000;108;76;30;246240,0000
1;SA;1;38;58;81;33;28;1;270,0000;201,0000;0,0000;81;28;33;74844,0000
1;SA;1;39;25;110;43;25;1;464,0000;120,0000;43,0000;110;25;43;118250,0000
1;SA;1;40;21;108;76;30;0;81,0000;152,0000;103,0000;108;76;30;246240,0000
1;SA;1;41;41;92;81;55;5;244,0000;0,0000;92,0000;55;81;92;409860,0000
1;SA;1;42;29;110;43;25;1;354,0000;120,0000;86,0000;110;25;43;118250,0000
1;SA;1;43;71;120;99;73;4;354,0000;0,0000;99,0000;73;120;99;867240,0000
1;SA;1;44;43;92;81;55;5;299,0000;92,0000;92,0000;55;81;92;409860,0000
1;SA;1;45;68;120;99;73;4;508,0000;0,0000;99,0000;73;120;99;867240,0000
1;SA;1;46;78;120;99;73;5;0,0000;92,0000;99,0000;73;99;120;867240,0000
1;SA;1;47;1;108;76;30;0;189,0000;81,0000;111,0000;108;76;30;246240,0000
1;SA;1;48;15;108;76;30;0;81,0000;0,0000;120,0000;108;76;30;246240,0000
1;SA;1;49;42;92;81;55;2;0,0000;0,0000;110,0000;81;92;55;409860,0000
1;SA;1;50;31;110;43;25;1;464,0000;120,0000;86,0000;110;25;43;118250,0000
1;SA;1;51;35;92;81;55;5;474,0000;145,0000;120,0000;55;81;92;409860,0000
1;SA;1;52;69;120;99;73;0;354,0000;120,0000;129,0000;120;99;73;867240,0000
1;SA;1;53;10;108;76;30;0;81,0000;76,0000;133,0000;108;76;30;246240,0000
1;SA;1;54;60;81;33;28;1;81,0000;196,0000;33,0000;81;28;33;74844,0000
1;SA;1;55;13;108;76;30;0;81,0000;152,0000;133,0000;108;76;30;246240,0000
1;SA;1;56;18;108;76;30;0;189,0000;81,0000;141,0000;108;76;30;246240,0000
1;SA;1;57;34;92;81;55;5;529,0000;145,0000;120,0000;55;81;92;409860,0000
1;SA;1;58;6;108;76;30;0;81,0000;0,0000;150,0000;108;76;30;246240,0000
1;SA;1;59;49;92;81;55;3;189,0000;173,0000;125,0000;81;55;92;409860,0000
1;SA;1;60;17;108;76;30;0;81,0000;76,0000;163,0000;108;76;30;246240,0000
1;SA;1;61;3;108;76;30;0;81,0000;152,0000;163,0000;108;76;30;246240,0000
1;SA;1;62;46;92;81;55;3;270,0000;173,0000;125,0000;81;55;92;409860,0000
1;SA;1;63;22;108;76;30;0;189,0000;81,0000;171,0000;108;76;30;246240,0000
1;SA;1;64;37;92;81;55;2;427,0000;0,0000;154,0000;81;92;55;409860,0000
1;SA;1;65;55;81;33;28;1;0,0000;191,0000;99,0000;81;28;33;74844,0000
1;SA;1;66;61;81;33;28;1;0,0000;191,0000;132,0000;81;28;33;74844,0000
1;SA;1;67;51;92;81;55;2;0,0000;0,0000;165,0000;81;92;55;409860,0000
1;SA;1;68;8;108;76;30;0;81,0000;0,0000;180,0000;108;76;30;246240,0000
1;SA;1;69;14;108;76;30;0;189,0000;0,0000;184,0000;108;76;30;246240,0000
1;SA;1;70;54;81;33;28;1;427,0000;92,0000;154,0000;81;28;33;74844,0000
1;SA;1;71;30;110;43;25;1;474,0000;120,0000;129,0000;110;25;43;118250,0000
1;SA;1;72;57;81;33;28;1;0,0000;191,0000;165,0000;81;28;33;74844,0000
1;SA;1;73;66;81;33;28;1;427,0000;92,0000;187,0000;81;28;33;74844,0000
1;GA;1;1;6;108;76;30;0;0,0000;0,0000;0,0000;108;76;30;246240,0000
1;GA;1;2;74;120;99;73;4;108,0000;0,0000;0,0000;73;120;99;867240,0000
1;GA;1;3;34;92;81;55;4;181,0000;0,0000;0,0000;55;92;81;409860,0000
1;GA;1;4;76;120;99;73;4;236,0000;0,0000;0,0000;73;120;99;867240,0000
1;GA;1;5;35;92;81;55;0;309,0000;0,0000;0,0000;92;81;55;409860,0000
1;GA;1;6;8;108;76;30;0;401,0000;0,0000;0,0000;108;76;30;246240,0000
1;GA;1;7;17;108;76;30;0;0,0000;76,0000;0,0000;108;76;30;246240,0000
1;GA;1;8;14;108;76;30;0;401,0000;76,0000;0,0000;108;76;30;246240,0000
1;GA;1;9;77;120;99;73;4;509,0000;0,0000;0,0000;73;120;99;867240,0000
1;GA;1;10;52;92;81;55;1;309,0000;81,0000;0,0000;92;55;81;409860,0000
1;GA;1;11;73;120;99;73;3;108,0000;120,0000;0,0000;99;73;120;867240,0000
1;GA;1;12;63;81;33;28;1;207,0000;120,0000;0,0000;81;28;33;74844,0000
1;GA;1;13;72;120;99;73;5;509,0000;120,0000;0,0000;73;99;120;867240,0000
1;GA;1;14;19;108;76;30;0;207,0000;148,0000;0,0000;108;76;30;246240,0000
1;GA;1;15;29;110;43;25;1;207,0000;148,0000;30,0000;110;25;43;118250,0000
1;GA;1;16;68;120;99;73;3;0,0000;152,0000;0,0000;99;73;120;867240,0000
1;GA;1;17;11;108;76;30;0;401,0000;152,0000;0,0000;108;76;30;246240,0000
1;GA;1;18;33;92;81;55;5;317,0000;148,0000;0,0000;55;81;92;409860,0000
1;GA;1;19;56;81;33;28;1;108,0000;193,0000;0,0000;81;28;33;74844,0000
1;GA;1;20;24;108;76;30;0;0,0000;0,0000;30,0000;108;76;30;246240,0000
1;GA;1;21;10;108;76;30;0;401,0000;0,0000;30,0000;108;76;30;246240,0000
1;GA;1;22;20;108;76;30;0;0,0000;76,0000;30,0000;108;76;30;246240,0000
1;GA;1;23;45;92;81;55;0;401,0000;76,0000;30,0000;92;81;55;409860,0000
1;GA;1;24;18;108;76;30;0;401,0000;157,0000;30,0000;108;76;30;246240,0000
1;GA;1;25;54;81;33;28;0;207,0000;173,0000;30,0000;81;33;28;74844,0000
1;GA;1;26;9;108;76;30;0;0,0000;0,0000;60,0000;108;76;30;246240,0000
1;GA;1;27;15;108;76;30;0;401,0000;0,0000;60,0000;108;76;30;246240,0000
1;GA;1;28;58;81;33;28;1;207,0000;120,0000;33,0000;81;28;33;74844,0000
1;GA;1;29;75;120;99;73;3;0,0000;76,0000;60,0000;99;73;120;867240,0000
1;GA;1;30;80;120;99;73;3;401,0000;157,0000;60,0000;99;73;120;867240,0000
1;GA;1;31;53;92;81;55;1;309,0000;0,0000;55,0000;92;55;81;409860,0000
1;GA;1;32;81;120;99;73;3;207,0000;148,0000;73,0000;99;73;120;867240,0000
1;GA;1;33;22;108;76;30;0;401,0000;76,0000;85,0000;108;76;30;246240,0000
1;GA;1;34;28;110;43;25;1;207,0000;206,0000;30,0000;110;25;43;118250,0000
1;GA;1;35;5;108;76;30;0;0,0000;0,0000;90,0000;108;76;30;246240,0000
1;GA;1;36;47;92;81;55;4;181,0000;0,0000;81,0000;55;92;81;409860,0000
1;GA;1;37;51;92;81;55;1;309,0000;81,0000;81,0000;92;55;81;409860,0000
1;GA;1;38;23;108;76;30;0;401,0000;0,0000;90,0000;108;76;30;246240,0000
1;GA;1;39;4;108;76;30;0;401,0000;76,0000;115,0000;108;76;30;246240,0000
1;GA;1;40;30;110;43;25;1;0,0000;0,0000;120,0000;110;25;43;118250,0000
1;GA;1;41;67;120;99;73;4;236,0000;0,0000;99,0000;73;120;99;867240,0000
1;GA;1;42;79;120;99;73;4;509,0000;0,0000;99,0000;73;120;99;867240,0000
1;GA;1;43;1;108;76;30;0;401,0000;0,0000;120,0000;108;76;30;246240,0000
1;GA;1;44;64;81;33;28;1;108,0000;193,0000;33,0000;81;28;33;74844,0000
1;GA;1;45;32;92;81;55;3;317,0000;148,0000;92,0000;81;55;92;409860,0000
1;GA;1;46;66;81;33;28;1;207,0000;120,0000;66,0000;81;28;33;74844,0000
1;GA;1;47;40;92;81;55;4;110,0000;0,0000;99,0000;55;92;81;409860,0000
1;GA;1;48;71;120;99;73;1;0,0000;152,0000;120,0000;120;73;99;867240,0000
1;GA;1;49;65;81;33;28;0;108,0000;193,0000;66,0000;81;33;28;74844,0000
1;GA;1;50;41;92;81;55;4;509,0000;120,0000;120,0000;55;92;81;409860,0000
1;GA;1;51;43;92;81;55;3;120,0000;152,0000;120,0000;81;55;92;409860,0000
1;GA;1;52;57;81;33;28;1;317,0000;203,0000;92,0000;81;28;33;74844,0000
1;GA;1;53;7;108;76;30;0;401,0000;76,0000;145,0000;108;76;30;246240,0000
1;GA;1;54;48;92;81;55;1;309,0000;0,0000;136,0000;92;55;81;409860,0000
1;GA;1;55;16;108;76;30;0;401,0000;0,0000;150,0000;108;76;30;246240,0000
1;GA;1;56;13;108;76;30;0;0,0000;0,0000;163,0000;108;76;30;246240,0000
1;GA;1;57;60;81;33;28;1;110,0000;92,0000;99,0000;81;28;33;74844,0000
1;GA;1;58;46;92;81;55;1;110,0000;92,0000;132,0000;92;55;81;409860,0000
1;GA;1;59;59;81;33;28;1;207,0000;120,0000;99,0000;81;28;33;74844,0000
